STOP_ID,STOP_NAME,latitude,longitude,TICKETZONE,ROUTEUSSP,geometry,
40221,Craigieburn Railway Station (Craigieburn),-37.601817,144.94332,2,Craigieburn,c(2494995.85986932, 2433217.25329759)
44817,Coolaroo Railway Station (Coolaroo),-37.661003,144.926056,2,Craigieburn,c(2493476.62496873, 2426647.78708475)
45793,Lynbrook Railway Station (Lynbrook),-38.057341,145.249275,2,Cranbourne,c(2521878.2536899, 2382632.27808847)
45794,Cardinia Road Railway Station (Pakenham),-38.07129,145.437791,2,Pakenham,c(2538416.25754941, 2381024.2487439)
45795,South Morang Railway Station (South Morang),-37.649159,145.067032,2,Mernda,c(2505915.53468098, 2427962.68736968)
46468,Williams Landing Railway Station (Williams Landing),-37.869865,144.747445,2,Werribee,c(2477779.69802302, 2403440.2752169)
52095,Southland Railway Station (Cheltenham),-37.958756,145.049121,2,Frankston,c(2504317.29997532, 2393602.43182922)
52159,Middle Gorge Railway Station (South Morang),-37.644061,145.092144,2,Mernda,c(2508131.98413174, 2428526.61573399)
52160,Hawkstowe Railway Station (South Morang),-37.622995,145.097396,2,Mernda,c(2508597.85508498, 2430864.03946191)
52161,Mernda Railway Station (Mernda),-37.602548,145.100885,2,Mernda,c(2508908.25149505, 2433132.89838622)
15351,Sunbury Railway Station (Sunbury),-37.579091,144.727319,2,Sunbury,c(2475916.52373874, 2435706.33332638)
15353,Diggers Rest Railway Station (Diggers Rest),-37.627017,144.719922,2,Sunbury,c(2475278.82220664, 2430385.71754875)
19827,Stony Point Railway Station (Crib Point),-38.374235,145.221837,2,Stony Point,c(2519388.19172469, 2347460.30333002)
19828,Crib Point Railway Station (Crib Point),-38.366123,145.204043,2,Stony Point,c(2517834.99299206, 2348364.35754828)
19829,Morradoo Railway Station (Crib Point),-38.354033,145.189602,2,Stony Point,c(2516575.44205242, 2349709.17531694)
19830,Bittern Railway Station (Bittern),-38.33739,145.178027,2,Stony Point,c(2515567.00997425, 2351558.77584055)
19831,Hastings Railway Station (Hastings),-38.305659,145.18598,2,Stony Point,c(2516269.30421798, 2355080.0666141)
19832,Tyabb Railway Station (Tyabb),-38.259815,145.186401,2,Stony Point,c(2516316.08305502, 2360169.24635711)
19833,Somerville Railway Station (Somerville),-38.225342,145.176245,2,Stony Point,c(2515434.22369519, 2363997.79725662)
19834,Baxter Railway Station (Baxter),-38.194043,145.160526,2,Stony Point,c(2514063.57312457, 2367474.6691571)
19835,Glen Iris Railway Station (Glen Iris),-37.859308,145.058225,1,Glen Waverley,c(2505124.12038599, 2404639.89676078)
19836,Leawarra Railway Station (Frankston),-38.152034,145.139534,2,Stony Point,c(2512231.38495572, 2372140.82206606)
19837,Darling Railway Station (Malvern East),-37.868957,145.062951,"1,2",Glen Waverley,c(2505539.2904474, 2403568.69445453)
19838,East Malvern Railway Station (Malvern East),-37.87693,145.069393,"1,2",Glen Waverley,c(2506105.43200099, 2402683.37584621)
19839,Holmesglen Railway Station (Malvern East),-37.874402,145.090662,"1,2",Glen Waverley,c(2507976.87309729, 2402962.386779)
19840,Jordanville Railway Station (Mount Waverley),-37.873603,145.11209,2,Glen Waverley,c(2509862.18118095, 2403049.06224336)
19841,Flagstaff Railway Station (Melbourne City),-37.811981,144.955654,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2496095.76894816, 2409893.30195019)
19842,Melbourne Central Railway Station (Melbourne City),-37.809939,144.962594,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2496706.76549847, 2410120.20103009)
19843,Parliament Railway Station (Melbourne City),-37.811054,144.972911,1,"Belgrave,Craigieburn,Cranbourne,Flemington,Glen Waverley,Hurstbridge,Lilydale,Mernda,Pakenham,Sunbury,Upfield,Alamein",c(2497615.27539842, 2409996.75690804)
19844,Belgrave Railway Station (Belgrave),-37.909102,145.355291,2,Belgrave,c(2531244.17710349, 2399056.49882937)
19845,Tecoma Railway Station (Tecoma),-37.908118,145.342995,2,Belgrave,c(2530163.304409, 2399169.67640905)
19846,Upwey Railway Station (Upwey),-37.903691,145.331333,2,Belgrave,c(2529139.45199157, 2399664.66698511)
19847,Alamein Railway Station (Ashburton),-37.86832,145.079656,1,Alamein,c(2507009.11805453, 2403638.29612553)
19848,Ashburton Railway Station (Ashburton),-37.861968,145.081344,1,Alamein,c(2507158.24436608, 2404343.17889559)
19849,Burwood Railway Station (Glen Iris),-37.851563,145.080511,1,Alamein,c(2507085.91920163, 2405498.08308916)
19850,Hartwell Railway Station (Camberwell),-37.843985,145.07556,1,Alamein,c(2506650.89633319, 2406339.51349177)
